Date,Open,High,Low,Close,Adj Close,Volume
2020-11-04,45.980000,46.631001,45.500000,46.060001,43.450092,19400
2020-11-05,46.130001,47.689999,46.130001,47.490002,44.799057,30900
2020-11-06,47.419998,47.570000,46.723000,46.759998,44.110428,39400
2020-11-09,50.346001,50.580002,49.639999,49.639999,46.827232,101300
2020-11-10,50.540001,51.200001,50.029999,51.000000,48.110176,38400
2020-11-11,51.174999,51.174999,50.067001,50.490002,47.629070,38200
2020-11-12,50.250000,50.250000,48.834999,49.299999,46.506500,37600
2020-11-13,50.396999,50.860001,50.160000,50.740002,47.864910,38700
2020-11-16,52.020000,52.500000,51.555000,52.419998,49.449711,59600
2020-11-17,52.230000,52.959999,51.485001,52.849998,49.855347,41900
2020-11-18,53.380001,53.509998,52.262001,52.270000,49.308216,83100
2020-11-19,52.349998,52.709999,51.755001,52.709999,49.723286,33200
2020-11-20,52.810001,52.810001,52.099998,52.340000,49.374249,53400
2020-11-23,52.840000,54.150002,52.840000,53.970001,50.911884,45900
2020-11-24,54.980000,55.759998,54.680000,55.660000,52.506123,53200
2020-11-25,55.680000,55.680000,54.540001,55.009998,51.892956,54400
2020-11-27,54.880001,55.106998,54.374001,54.779999,51.675987,35500
2020-11-30,54.779999,54.779999,52.980000,53.054001,50.047798,44900
2020-12-01,54.270000,54.400002,53.543999,53.910000,50.855289,35000
2020-12-02,54.006001,54.490002,53.869999,54.389999,51.308086,30500
2020-12-03,54.709999,55.290001,54.360001,54.939999,51.826920,38500
2020-12-04,55.615002,56.529999,55.615002,56.526001,53.323055,46100
2020-12-07,56.130001,56.380001,55.680000,56.119999,52.940060,39700
2020-12-08,55.880001,56.450001,55.705002,56.419998,53.223061,52400
2020-12-09,57.150002,57.240002,56.048000,56.490002,53.289097,43300
2020-12-10,56.279999,56.900002,55.875000,56.869999,53.647560,45800
2020-12-11,56.709999,56.709999,55.863998,56.259998,53.072132,55300
2020-12-14,57.040001,57.040001,55.669998,55.669998,52.515556,53500
2020-12-15,56.349998,57.189999,56.029999,57.189999,53.949436,82800
2020-12-16,57.490002,57.490002,56.720001,56.869999,53.647560,51900
2020-12-17,57.080002,57.080002,56.459999,56.950001,53.997437,322200
2020-12-18,57.139999,57.389999,56.382999,56.570000,53.637135,58900
2020-12-21,55.639999,56.349998,55.370998,56.240002,53.324245,66900
2020-12-22,56.279999,56.500000,55.980999,56.080002,53.172531,107100
2020-12-23,56.110001,57.310001,56.110001,57.180000,54.215511,35700
2020-12-24,57.070000,57.070000,56.700001,57.020000,54.063801,27600
2020-12-28,57.849998,57.849998,57.000000,57.029999,54.073292,88200
2020-12-29,57.099998,57.099998,55.880001,56.220001,53.305286,55200
2020-12-30,56.630001,57.139999,56.630001,56.869999,53.921589,109600
2020-12-31,56.639999,57.080002,56.557999,56.840000,53.893135,87900
2021-01-04,57.250000,57.490002,55.669998,56.310001,53.390610,135700
2021-01-05,56.439999,58.330002,56.439999,57.810001,54.812847,59800
2021-01-06,59.049999,61.500000,59.049999,61.049999,57.884865,47600
2021-01-07,61.660000,62.009998,61.356998,61.730000,58.529610,111500
2021-01-08,62.230000,62.230000,60.377998,60.919998,57.761608,64700
2021-01-11,60.459999,61.400002,60.459999,61.400002,58.216724,39300
2021-01-12,61.529999,63.040001,61.529999,63.040001,59.771698,45300
2021-01-13,63.049999,63.049999,62.026001,62.179001,58.955341,56900
2021-01-14,62.750000,63.950001,62.750000,63.650002,60.350075,95200
2021-01-15,63.330002,63.330002,61.921001,62.509998,59.269173,58000
2021-01-19,63.360001,63.360001,62.540001,63.029999,59.762215,60300
2021-01-20,63.450001,63.630001,62.868000,63.320000,60.037182,63900
2021-01-21,63.549999,63.549999,62.299999,62.480000,59.240730,112400
2021-01-22,61.939999,63.070000,61.620998,63.060001,59.790661,93300
2021-01-25,63.220001,63.632999,61.990002,62.759998,59.506210,83400
2021-01-26,63.148998,63.189999,62.009998,62.200001,58.975243,57800
2021-01-27,61.500000,62.058998,60.500000,61.439999,58.254646,74700
2021-01-28,62.000000,62.020000,60.701000,61.169998,57.998646,135800
2021-01-29,61.340000,61.599998,59.680000,59.770000,56.671223,182200
2021-02-01,60.570000,61.279999,59.865002,61.189999,58.017612,89800
2021-02-02,61.980000,62.188999,61.240002,61.930000,58.719246,84400
2021-02-03,62.310001,62.750000,61.840000,62.750000,59.496738,55600
2021-02-04,63.000000,63.990002,63.000000,63.970001,60.653484,94300
2021-02-05,64.570000,64.790001,64.000000,64.449997,61.108593,44700
2021-02-08,64.750000,66.269997,64.750000,66.250000,62.815285,74400
2021-02-09,66.370003,66.628998,65.599998,66.199997,62.767868,57800
2021-02-10,66.589996,66.930000,65.639999,66.370003,62.929062,69200
2021-02-11,66.379997,66.922997,65.290001,66.129997,62.701496,65300
2021-02-12,66.000000,66.660004,65.829002,66.660004,63.204018,49200
2021-02-16,67.269997,67.720001,66.910004,67.199997,63.716015,70400
2021-02-17,66.910004,67.095001,66.129997,66.860001,63.393631,58900
